skz;name;plz;ort;strasse;tel;mail_vw;url_hp;art;
306371;Volksschule Trumau;2521;Trumau;Kirchengasse 5;02253/6500;vs.trumau@noeschule.at;;APS $VS;
306381;Volksschule Ebreichsdorf, Unterwaltersdorf;2442;Unterwaltersdorf;Pflanzsteig 9;02254/73930;vs.unterwaltersdorf@noeschule.at;www.vs-unterwaltersdorf.schulweb.at;APS $VS;
306401;Volksschule Ebreichsdorf, Weigelsdorf;2484;Weigelsdorf;Hauptstraße 32;02254/73700;vs.weigelsdorf@noeschule.at;;APS $VS;
306411;Volksschule Weissenbach an der Triesting;2564;Weissenbach an der Triesting;Hauptstraße 16;02674/89389;vs.weissenbach@noeschule.at;www.school4you.at/2564/vs-weissenbach;APS $VS;
306419;Höhere Bundeslehranstalt für wirtschaftliche Berufe Baden;2500;Baden;Germergasse 5;02252/89151;hlw.baden@noeschule.at;www.hlabaden.at;BBS W$S WMS WHS KOLL;
306421;Volksschule Leobersdorf;2544;Leobersdorf;Rathausplatz 3;02256/62267;vs.leobersdorf@noeschule.at;www.vsleobersdorf.at;APS $VS;
306428;Bundeshandelsakademie und Bundeshandelsschule Baden;2500;Baden;Mühlgasse 65;02252/88568-0;hak.baden@noeschule.at;www.hak-baden.ac.at;BBS K$S KMS KHS;
306429;International College of Tourismus and Management - ITM GmbH;2540;Bad Vöslau;Johann Strauß Strasse 2;+43 (0) 664 910 8 200;itm.semmering@noeschule.at;www.itm-college.eu;BBS W$S WHS TOUR KOLL;
306431;Volksschule Ebreichsdorf;2483;Ebreichsdorf;Schulgasse 2;02254/72528;vs.ebreichsdorf@noeschule.at;vsebreichsdorf.schulweb.at;APS $VS;
306437;Höhere technische Lehranstalt Baden, Malerschule Leesdorf;2500;Baden;Leesdorfer Hauptstraße 69;02252/80250;ms.baden@noeschule.at;www.malerschule-baden.ac.at;BBS T$S TMS THS KOLL;
306441;Volksschule Oberwaltersdorf;2522;Oberwaltersdorf;Badener Straße 26;02253/61000 - 215;vs.oberwaltersdorf@noeschule.at;vs-oberwaltersdorf.at;APS $VS;
306451;Volksschule Teesdorf;2524;Teesdorf;Alfred Schedewy-Straße 10;02253/81660;vs.teesdorf@noeschule.at;www.teesdorf.at;APS $VS;
306461;Volksschule Pottenstein;2563;Pottenstein;Hainfelder Straße 24;02672/85170-10;vs.pottenstein@noeschule.at;www.vspottenstein.com;APS $VS;
306471;Praxisvolksschule der Pädagogischen Hochschule für NÖ;2500;Baden;Mühlgasse 67;02252/88570-141;uevs.baden@noeschule.at;http://praxisvs.ph-noe.ac.at;APS $VS;
306481;"""Rudolf Steiner Landschule"" Schönau - Freie Waldschule";2525;Schönau an der Triesting;Kirchengasse 22;02256/62181;pvs.schoenau@noeschule.at;www.waldorf-schoenau.at;APS $VS STS;
306491;Schulzentrum für ganzheitliches Lernen von der 1.-9. Schulstufe;2551;Enzesfeld;Schlossstraße 34;02256/824713;pvs.enzesfeld@noeschule.at;;APS $VS STS;
306501;"Private Volksschule ""Badener Regenbogen"" Privatschule des Hr. Herbert Vanicek, Baden";2500;Baden;Trostgasse 17;02252/42300;pvs.baden-vanicek@noeschule.at;;APS $VS;
306521;Privatschule Montessorischule;2500;Baden;Kaiser Franz Josef Ring 1;0664 5711722;pvs.zak-baden@noeschule.at;www.montessori-in-baden.at;APS $VS STS;
306531;Schulwerkstatt Ebreichsdorf;2483;Ebreichsdorf;Wienerstrasse 25a;0664/2346148;vs.ebreichsdorf2@noeschule.at;;APS $VS STS;
306541;"Privatschule ""School4kids""";2500;Baden;Rollettgasse 2;0676-9061829;;;APS $VS;
306551;Volksschule Mitterndorf an der Fischa;2441;Mitterndorf;Hauptstraße 28;02234/78835;vs.mitterndorf@noeschule.at;;APS $VS;
306561;Volksschule Schönau an der Triesting;2525;Schönau a.d. Triesting;Friedhofstraße 9;;vs.schoenau@noeschule.at;;APS $VS;
306660;Pädagogische Hochschule Niederösterreich;2500;Baden;Mühlgasse 67;02252/88570;office@ph-noe.ac.at;www.ph-noe.ac.at;PAI;
306810;Bundesinstitut für Sozialpädagogik Baden;2500;Baden;Elisabethstraße 14-16;02252/482820;bisop.baden@noeschule.at;www.bisopbaden.ac.at;BBS W$S SOZ KOLL;
307011;Volksschule Au am Leithaberge;2451;Au am Leithaberge;Hauptplatz 6;02168/8235;vs.au-leithaberge@noeschule.at;;APS $VS;
307012;Neue Niederösterreichische Mittelschule Bruck an der Leitha I;2460;Bruck an der Leitha;Lagerhausstraße 1;02162/62566;hs.bruck-leitha-1@noeschule.at;hsbruck-leitha-1.ac.at;APS $HS NMS;
307013;Allgemeine Sonderschule Bruck an der Leitha;2460;Bruck an der Leitha;Hauptplatz 8;02162/63283;aso.bruck-leitha@noeschule.at;;APS $AS SPZ;
307016;Bundesgymnasium und Bundesrealgymnasium Bruck/Leitha;2460;Bruck/Leitha;Fischamender Straße 23-25;02162/62432-0;bg.bruck-leitha@noeschule.at;www.bgbruck-leitha.ac.at;AHS GYM;
307021;Volksschule Bad Deutsch-Altenburg;2405;Bad Deutsch-Altenburg;Neustiftgasse 23;02165/64073;vs.baddeutsch-altenburg@noeschule.at;www.vsbaddeutschaltenburg.ac.at;APS $VS;
307022;Neue Niederösterreichische Mittelschule Bruck an der Leitha II;2460;Bruck an der Leitha;Raiffeisengürtel 35;02162/62348;hs.bruck-leitha-2@noeschule.at;www.hsbruck-leitha2.ac.at;APS $HS NMS;
307031;Volksschule Bruck an der Leitha, Fischamender Straße;2460;Bruck an der Leitha;Fischamender Straße 48;02162/62347;vs.bruck-leitha-fischamenderstrasse@noeschule.at;;APS $VS;
307032;Neue Niederösterreichische Mittelschule Hainburg an der Donau;2410;Hainburg an der Donau;Babenbergerstraße 27;02165/62175;hs.hainburg@noeschule.at;www.hs-hainburg.at;APS $HS NMS;
307033;Allgemeine Sonderschule Hainburg an der Donau;2410;Hainburg an der Donau;Alte Poststraße 24;02165/64164;aso.hainburg@noeschule.at;www.asohainburg.ac.at;APS $AS;
307041;Volksschule Bruck an der Leitha, Hauptplatz;2460;Bruck an der Leitha;Hauptplatz 8;02162/62569;vs.bruck-leitha-hauptplatz@noeschule.at;www.vsbruck-leitha-hauptplatz.ac.at;APS $VS;
307051;Volksschule Enzersdorf an der Fischa;2431;Enzersdorf an der Fischa;Schlossstraße 4;02230/867920;vs.enzersdorf@noeschule.at;;APS $VS;
307052;Neue Niederösterreichische Mittelschule Mannersdorf am Leithagebirge;2452;Mannersdorf am Leithagebirge;Fleischgasse 3;02168/62358;hs.mannersdorf-leithagebirge@noeschule.at;www.hsmannersdorf.at;APS $HS NMS;
307061;Volksschule Göttlesbrunn - Arbesthal;2464;Göttlesbrunn;Schulgasse 43;02162/8264;vs.goettlesbrunn-arbesthal@noeschule.at;;APS $VS;
307064;Polytechnische Schule Bruck an der Leitha;2460;Bruck an der Leitha;Stefaniegasse 5;02162/63831;pts.bruck-leitha@noeschule.at;;APS PTS;
307071;Volksschule Götzendorf an der Leitha;2434;Götzendorf an der Leitha;Dr. Heidrichgasse 2;02169/2661;vs.goetzendorf@noeschule.at;;APS $VS;
307081;Volksschule Hainburg an der Donau;2410;Hainburg an der Donau;Alte Poststraße 24;02165/62547;vs.hainburg@noeschule.at;;APS $VS;
307101;Volksschule Haslau - Maria Ellend;2402;Haslau;Bahnstraße 8;02232/80220;vs.haslau-maria-ellend@noeschule.at;www.vshaslau-mariaellend.ac.at;APS $VS;
307111;Volksschule Hof am Leithaberge;2451;Hof am Leithaberge;Schulgasse 5;02168/62715;vs.hof-leithaberge@noeschule.at;;APS $VS;
307121;Volksschule Höflein;2465;Höflein;Am Limes 1;02162/63166;vs.hoeflein@noeschule.at;www.vshoeflein.at;APS $VS;
307131;Volksschule Mannersdorf am Leithagebirge;2452;Mannersdorf am Leithagebirge;Hauptstraße 15;02168/62471;vs.mannersdorf-leithagebirge@noeschule.at;;APS $VS;
307151;Volksschule Petronell - Carnuntum;2404;Petronell;Hauptstraße 55;02163/2829;vs.petronell-carnuntum@noeschule.at;;APS $VS;
307161;Volksschule Prellenkirchen;2472;Prellenkirchen;Grünaugasse 8;02145/2238;vs.prellenkirchen@noeschule.at;vsprellenkirchen.com;APS $VS;
307171;Volksschule Rohrau;2471;Rohrau;Obere Hauptstraße 1;02164/2239;vs.rohrau@noeschule.at;www.vs-rohrau.schulweb.at;APS $VS;
307181;Volksschule Sommerein;2453;Sommerein;Schlossstraße 25;02168/63654;vs.sommerein@noeschule.at;schulen.asn-noe.ac.at/vssommerein/;APS $VS;
307191;Volksschule Trautmannsdorf an der Leitha;2454;Trautmannsdorf an der Leitha;Hauptstraße 42;02169/2690;vs.trautmannsdorf@noeschule.at;www.vstrautmannsdorf.ac.at;APS $VS;
307201;Volksschule Wolfsthal;2412;Wolfsthal;Hauptstraße 42;02165/62676-20;vs.wolfsthal@noeschule.at;;APS $VS;
307428;Bundeshandelsakademie und Bundeshandelsschule Bruck/Leitha;2460;Bruck/Leitha;Fischamender Straße 23-25;02162/62723-0;hak.bruck-leitha@noeschule.at;www.hakbruck-leitha.ac.at;BBS K$S KMS KHS;
308011;Volksschule Angern an der March;2261;Angern an der March;Schulgasse 2;02283/28 00;vs.angern@noeschule.at;;APS $VS;
308012;Hauptschule Auersthal;2214;Auersthal;Schulring 18;02288/2305;hs.auersthal@noeschule.at;http://mhsauersthal.schulweb.at/;APS $HS;
308015;Landesberufsschule Zistersdorf;2225;Zistersdorf;Schlossplatz 7;02532/2360-0;direktion@lbszistersdorf.ac.at;www.lbszistersdorf.ac.at;BPS BRS;
308016;Bundesgymnasium und Bundesrealgymnasium Gänserndorf;2230;Gänserndorf;Gärtnergasse 5-7;02282/2308;bg.gaenserndorf@noeschule.at;www.klg.or.at;AHS GYM;
308021;Volksschule Auersthal;2214;Auersthal;Schulring 18;02288/23 01;vs.auersthal@noeschule.at;vsauersthal.schulweb.at;APS $VS;
308022;Neue Niederösterreichische Mittelschule Deutsch-Wagram;2232;Deutsch-Wagram;Friedhofallee 8;02247/24 91;hs.deutsch-wagram@noeschule.at;www.hsdeutschwagram.ac.at;APS $HS NMS;
308023;Allgemeine Sonderschule Gänserndorf;2230;Gänserndorf;Siebenbrunner Straße 7;02282/86 85-20;aso.gaenserndorf@noeschule.at;;APS $AS SPZ;
308024;Polytechnische Schule Gänserndorf;2230;Gänserndorf;Kirchenplatz 9;02282/25 82;pts.gaenserndorf@noeschule.at;www.ptsgaenserndorf.ac.at;APS PTS;
308026;BORG Deutsch-Wagram;2232;Deutsch-Wagram;Schulallee 4;02247/65087;borg.deutsch-wagram@noeschule.at;www.borgdw.at;AHS ORG;
308031;Volksschule Bad Pirawarth;2222;Bad Pirawarth;Kirchengasse 6;02574/37 75;vs.badpirawarth@noeschule.at;;APS $VS;
308032;Neue Niederösterreichische Mittelschule Dürnkrut;2263;Dürnkrut;Hauptstraße 8;02538/80840;hs.duernkrut@noeschule.at;www.hsduernkrut.ac.at;APS $HS NMS;
308033;Allgemeine Sonderschule Hohenau an der March;2273;Hohenau an der March;Hauptstraße 28;02535/22 50;aso.hohenau@noeschule.at;;APS $AS;
308036;Expositur Groß-Enzersdorf des BG Gänserndorf;2301;Groß-Enzersdorf;Freiherr-von-Smola-Straße 3;02249 / 28451;exp.bg.gaenserndorf@noeschule.at;;AHS GYM;
308041;Volksschule Deutsch-Wagram;2232;Deutsch-Wagram;Schulallee 11;02247/24 90;vs.deutsch-wagram@noeschule.at;www.vsdeutsch-wagram.ac.at;APS $VS;
308042;Neue Niederösterreichische Mittelschule Gänserndorf;2230;Gänserndorf;Eichamtstraße 4;02282/23 40;hs.gaenserndorf@noeschule.at;www.hsgaenserndorf-1.ac.at;APS $HS NMS;
308043;Allgemeine Sonderschule Matzen - Raggendorf;2243;Matzen;Jubiläumsplatz 7;02289/22 41;aso.matzen-raggendorf@noeschule.at;www.spz-matzen.at;APS $AS SPZ;
308051;Volksschule Drösing;2265;Drösing;Schulgasse 2;02536/72 86;vs.droesing@noeschule.at;;APS $VS;
308053;Allgemeine Sonderschule Zistersdorf;2225;Zistersdorf;Schlossplatz 5;02532/82 124;aso.zistersdorf@noeschule.at;;APS $AS;
308054;Polytechnische Schule Zistersdorf;2225;Zistersdorf;Grillparzergasse 1A;02532/83 34;pts.zistersdorf@noeschule.at;www.tszistersdorf.ac.at;APS PTS;
308061;Volksschule Dürnkrut;2263;Dürnkrut;Hauptstraße 8;02538/80 740;vs.duernkrut@noeschule.at;;APS $VS;
308062;Hauptschule Groß-Enzersdorf;2301;Groß-Enzersdorf;Schießstattring 2;02249/23 46;hs.gross-enzersdorf@noeschule.at;www.hsgrossenzersdorf.ac.at;APS $HS;
308063;Allgemeine Sonderschule Strasshof an der Nordbahn;2231;Strasshof an der Nordbahn;Schulstraße 19;02287/5342;aso.strasshof@noeschule.at;www.a-so.info;APS $AS;
308071;Volksschule Ebenthal;2251;Ebenthal;Am Schulplatz 1;02538/8570 05;vs.ebenthal@noeschule.at;;APS $VS;
308072;Neue Niederösterreichische Mittelschule Hohenau an der March I;2273;Hohenau an der March;Hauptstraße 27;02535/2334;hs.hohenau-1@noeschule.at;;APS $HS NMS;
308073;Allgemeine Sonderschule Groß-Enzersdorf;2301;Groß-Enzersdorf;Schießstattring 2;02249/2393;aso.gross-enzersdorf@noeschule.at;;APS $AS SPZ;
308081;Volksschule Engelhartstetten;2292;Engelhartstetten;Untere Hauptstraße 16;02214/23 51;vs.engelhartstetten@noeschule.at;;APS $VS;
308083;Allgemeine Sonderschule Lassee;2291;Lassee;Stift Melk Gasse 2;02213/43667;aso.lassee@noeschule.at;;APS $AS SPZ;
308091;Volksschule Gänserndorf;2230;Gänserndorf;Siebenbrunnerstraße 7;02282/60536-10;vs.gaenserndorf@noeschule.at;www.volksschule.gaenserndorf.at;APS $VS;
308092;Hauptschule Hohenruppersdorf;2223;Hohenruppersdorf;Marktplatz 38;02574/83 26;hs.hohenruppersdorf@noeschule.at;www.hshohenruppersdorf.ac.at;APS $HS;
308101;Volksschule Groß-Enzersdorf;2301;Groß-Enzersdorf;Kaiser Franz Josef-Straße 8;02249/25 85;vs.gross-enzersdorf@noeschule.at;www.vsgrossenzersdorf.ac.at;APS $VS;
308102;Hauptschule Lassee;2291;Lassee;Bahnstraße 68;02213/22 23;hs.lassee@noeschule.at;;APS $HS;
308104;Polytechnische Schule Groß-Enzersdorf;2301;Groß-Enzersdorf;Schießstattring 2;02249/23 95;pts.gross-enzersdorf@noeschule.at;www.pts-grossenzersdorf.ac.at;APS PTS;
308111;Volksschule Groß-Enzersdorf, Oberhausen;2301;Oberhausen;Sonnleithnergasse 22;02215/22 47;vs.oberhausen@noeschule.at;www.vsoberhausen.ac.at;APS $VS;
308112;Hauptschule Leopoldsdorf im Marchfelde;2285;Leopoldsdorf im Marchfelde;Hauptstraße 2;02216/22 69;hs.leopoldsdorf@noeschule.at;www.hsleopoldsdorf.ac.at;APS $HS;
308121;Volksschule Groß-Schweinbarth;2221;Groß-Schweinbarth;Kirchenplatz 1;02289/27019;vs.gross-schweinbarth@noeschule.at;;APS $VS;
308122;Hauptschule Marchegg;2293;Marchegg;Fünfhaus 2;02285/8375;hs.marchegg@noeschule.at;www.hs-marchegg.at;APS $HS;
308131;Volksschule Haringsee;2286;Haringsee;Hauptstraße 3;02214/84130;vs.haringsee@noeschule.at;;APS $VS;
308132;Neue Niederösterreichische Mittelschule Matzen - Raggendorf;2243;Matzen;Jubiläumsplatz 10;02289/22 19;hs.matzen-raggendorf@noeschule.at;shsmatzen.ac.at;APS $HS NMS;
308141;Privatschule Elusch Hollerbusch - Schule für ganzheitliches Lernen;2244;Spannberg;Halbgasse 7;02538/89895;;;APS $VS STS;
308142;Hauptschule Neusiedl an der Zaya;2183;Neusiedl an der Zaya;Hauptschulstraße 18;02533/89 264;hs.neusiedl-zaya@noeschule.at;;APS $HS;
308151;Volksschule Hauskirchen;2184;Hauskirchen;Schulgasse 106;02533/82 11;vs.hauskirchen@noeschule.at;;APS $VS;
308152;Neue Niederösterreichische Mittelschule Orth an der Donau;2304;Orth an der Donau;Schlossplatz 4;02212/23 95;hs.orth@noeschule.at;hs-orth.schulweb.at;APS $HS NMS;
308161;Volksschule Hohenau an der March;2273;Hohenau an der March;Hauptstraße 35;02535/22 50;vs.hohenau@noeschule.at;www.vshohenau-march.ac.at;APS $VS;
308162;Hauptschule Zistersdorf;2225;Zistersdorf;Kirchengasse 1;02532/22 46;hs.zistersdorf@noeschule.at;www.hauptschule-zistersdorf.at;APS $HS;
308172;Neue Niederösterreichische Mittelschule Strasshof an der Nordbahn;2231;Strasshof an der Nordbahn;Schulstraße 13;02287/212501;hs.strasshof@noeschule.at;www.emsstrasshof.at;APS $HS NMS;
308181;Volksschule Hohenruppersdorf;2223;Hohenruppersdorf;Marktplatz 38;02574/82 72;vs.hohenruppersdorf@noeschule.at;;APS $VS;
308191;Volksschule Jedenspeigen;2264;Jedenspeigen;Kirchenplatz 2;02536/87 255;vs.jedenspeigen@noeschule.at;;APS $VS;
308201;Volksschule Lassee;2291;Lassee;Stift Melk-Gasse 2;02213/2250;vs.lassee@noeschule.at;www.vslassee.ac.at;APS $VS;
308211;Volksschule Leopoldsdorf im Marchfelde;2285;Leopoldsdorf im Marchfelde;Kempfendorf 2a;02216/23 278;vs.leopoldsdorf@noeschule.at;www.vsleopoldsdorf.ac.at;APS $VS;
308231;Volksschule Marchegg;2293;Marchegg;Fünfhaus 2;02285/8231;vs.marchegg@noeschule.at;www.vs-marchegg.schulweb.at;APS $VS;
308241;Volksschule Markgrafneusiedl;2282;Markgrafneusiedl;Bischof Mayer-Platz 1;02248/22 85;vs.markgrafneusiedl@noeschule.at;www.vsmarkgrafneusiedl.ac.at;APS $VS;
308251;Volksschule Matzen - Raggendorf;2243;Matzen;Josefsplatz 5;02289/22 79;vs.matzen-raggendorf@noeschule.at;www.vsmatzen-raggendorf.ac.at;APS $VS;
308261;Volksschule Neusiedl an der Zaya;2183;Neusiedl an der Zaya;Schulgasse 6;02533/89 350;vs.neusiedl-zaya@noeschule.at;;APS $VS;
308271;Volksschule Obersiebenbrunn;2283;Obersiebenbrunn;Hauptplatz 10;02286/ 27376;vs.obersiebenbrunn@noeschule.at;;APS $VS;
308281;Volksschule Orth an der Donau;2304;Orth an der Donau;Am Markt 30;02212/28 03;vs.orth@noeschule.at;vsorth.ac.at;APS $VS;
308291;Volksschule Palterndorf - Dobermannsdorf;2182;Palterndorf;Dobermannsdorfer Straße 279;02533/89 375;vs.palterndorf-dobermannsdorf@noeschule.at;;APS $VS;
308311;Volksschule Prottes;2242;Prottes;Hauptstraße 3;02282/89 66;vs.prottes@noeschule.at;www.vsprottes.ac.at;APS $VS;
308321;Volksschule Ringelsdorf - Niederabsdorf;2272;Niederabsdorf;Schulstraße 375;02536/7585;vs.ringelsdorf-niederabsdorf@noeschule.at;;APS $VS;
308341;Volksschule Schönkirchen - Reyersdorf;2241;Schönkirchen;Schulstraße 6;02282/22 68;vs.schoenkirchen-reyersdorf@noeschule.at;;APS $VS;
308351;Volksschule Spannberg;2244;Spannberg;Kirchengasse 22;02538/85495;vs.spannberg@noeschule.at;;APS $VS;
308371;Volksschule Strasshof an der Nordbahn;2231;Strasshof an der Nordbahn;Schulstraße 19;02287/22 30;vs.strasshof@noeschule.at;;APS $VS;
308381;Volksschule Sulz im Weinviertel;2224;Obersulz;Kirchenberg 217;02534/236;vs.sulz@noeschule.at;;APS $VS;
308391;Volksschule Untersiebenbrunn;2284;Untersiebenbrunn;Hauptstraße 12;02286/22 94;vs.untersiebenbrunn@noeschule.at;;APS $VS;
308401;"Privatschule ""Marchschule-Montessorihaus""";2293;Marchegg;Friedhofgasse 21;;;;APS $VS;
308411;Volksschule Weikendorf;2253;Weikendorf;Franz Mair-Weg 3;02282/36 55;vs.weikendorf@noeschule.at;;APS $VS;
308418;Bundeshandelsakademie und Bundeshandelsschule Gänserndorf;2230;Gänserndorf;Hans Kudlich-Gasse 30;02282/2291;hak.gaenserndorf@noeschule.at;www.hakgaenserndorf.ac.at;BBS K$S KMS KHS;
308421;Volksschule Zistersdorf;2225;Zistersdorf;Schlossplatz 5;02532/24 43;vs.zistersdorf@noeschule.at;www.vszistersdorf.ac.at;APS $VS;
308427;Werkmeisterschule für Berufstätige des WIFI der Wirtschaftskammer für NÖ, Gänserndorf;2230;Gänserndorf;Eichamtstraße 15;02282/4494;wms.gaenserndorf@noeschule.at;;BBS T$S TWS;
308710;Landwirtschaftliche Fachschule Obersiebenbrunn;2283;Obersiebenbrunn;Feldhofgasse 6;02286/2202;;;BBS LFS;
309011;Volksschule Brand - Nagelberg, Altnagelberg;3871;Altnagelberg;Hauptstraße 82;02859/7216;vs.altnagelberg@noeschule.at;;APS $VS;
309012;Hauptschule I Gmünd;3950;Gmünd;Otto Glöckel-Straße 2;02852/52113-0;hs.gmuend-1@noeschule.at;www.hsgmuend1.ac.at;APS $HS;
309015;Landesberufsschule Schrems;3943;Schrems;Dr. Theodor Körner-Platz 1;02853/76016;office@lbsschrems.ac.at;www.lbsschrems.ac.at;BPS BRS;
309016;Bundesgymnasium und Bundesrealgymnasium Gmünd;3950;Gmünd;Gymnasiumstraße 5;02852/52700-0;bg.gmuend@noeschule.at;www.bggmuend.ac.at;AHS GYM;
309021;Volksschule Amaliendorf - Aalfang;3872;Amaliendorf;Hauptstraße 159;02862/53498;vs.amaliendorf-aalfang@noeschule.at;www.vsamaliendorf-aalfang.ac.at;APS $VS;
309022;Hauptschule II Gmünd;3950;Gmünd;Schulgasse 1;02852/52104;hs.gmuend-2@noeschule.at;www.hsgmuend2.ac.at;APS $HS;
309032;Neue Niederösterreichische Mittelschule Bad Großpertholz;3972;Bad Großpertholz;Nr. 180;02857/2202;hs.badgrosspertholz@noeschule.at;www.hsbad-grosspertholz.ac.at;APS $HS NMS;
309041;Volksschule Großdietmanns;3950;Dietmanns;Hörmannser Straße 21;02852/8217;vs.grossdietmanns@noeschule.at;www.vsgrossdietmanns.ac.at;APS $VS;
309042;Hauptschule Heidenreichstein;3860;Heidenreichstein;Anton Ullrich-Gasse 7;02862/52169;hs.heidenreichstein@noeschule.at;;APS $HS;
309043;Allgemeine Sonderschule Schrems;3943;Schrems;Stadtpark 1;02853/76537;aso.schrems@noeschule.at;www.aso-schrems.schulweb.at;APS $AS SPZ;
309051;Volksschule Eggern;3861;Eggern;Litschauer Straße 8;02863/298;vs.eggern@noeschule.at;www.vseggern.ac.at;APS $VS;
309052;Hauptschule Litschau;3874;Litschau;Wiener Straße 3;02865/241;hs.litschau@noeschule.at;www.hslitschau.ac.at;APS $HS;
309054;Polytechnische Schule Gmünd;3950;Gmünd;Otto Glöckel-Straße 4;02852/52342;pts.gmuend@noeschule.at;www.ptsgmuend.ac.at;APS PTS;
309062;Neue Niederösterreichische Mittelschule Schrems;3943;Schrems;Stadtpark 1;02853/77350;nms.schrems@noeschule.at;www.hsschrems.ac.at;APS $HS NMS;
309063;Allgemeine Sonderschule Gmünd;3950;Gmünd-Neustadt;Dr.-Karl-Renner-Straße 33;02852/52455;aso.gmuend@noeschule.at;www.aso-gmuend.schulweb.at;APS $AS;
309071;Volksschule Eisgarn;3862;Eisgarn;Nr. 100;02863/212;vs.eisgarn@noeschule.at;;APS $VS;
309072;Neue Niederösterreichische Mittelschule Weitra;3970;Weitra;Karl-Egon-Straße 200;02856/2421;hs.weitra@noeschule.at;www.hsweitra.ac.at;APS $HS NMS;
309082;PAN - Freilandschule für 6-15- jährige;3922;Großschönau;Harmannstein 2;02815/6651;phs.gross-schoenau@noeschule.at;;APS $HS STS;
309091;Volksschule I Gmünd;3950;Gmünd;Volksheimgasse 4;02852/52465;vs.gmuend-1@noeschule.at;vsgmuend1.ac.at;APS $VS;
309101;Volksschule II Gmünd;3950;Gmünd;Dr. Karl Renner-Straße 33;02852/52455;vs.gmuend-2@noeschule.at;;APS $VS $AS;
309121;Volksschule Bad Großpertholz;3972;Bad Großpertholz;Nr. 180;02857/2338;vs.badgrosspertholz@noeschule.at;www.vsbad-grosspertholz.ac.at;APS $VS;
309141;Volksschule Großschönau;3922;Großschönau;Harmannsteiner Straße 120;02815/6237;vs.gross-schoenau@noeschule.at;;APS $VS;
309161;Volksschule Moorbad Harbach;3970;Moorbad Harbach;Nr. 41;02858/5224;vs.moorbad-harbach@noeschule.at;;APS $VS;
309181;Volksschule Haugschlag;3874;Haugschlag;Nr. 39;02865/8202;vs.haugschlag@noeschule.at;;APS $VS;
309191;Volksschule Heidenreichstein;3860;Heidenreichstein;Schulgasse 2;02862/52236;vs.heidenreichstein@noeschule.at;;APS $VS $AS;
309211;Volksschule Hirschbach;3942;Hirschbach;Nr. 66;02854/6227;vs.hirschbach@noeschule.at;www.vshirschbach.ac.at;APS $VS;
309231;Volksschule Hoheneich;3945;Hoheneich;Schulgasse 156;02852/52344;vs.hoheneich@noeschule.at;;APS $VS;
309261;Volksschule Kirchberg am Walde;3932;Kirchberg am Walde;Nr. 109;02854/271;vs.kirchberg-walde@noeschule.at;;APS $VS;
309301;Volksschule Litschau;3874;Litschau;Schulstraße 7-9;02865/390;vs.litschau@noeschule.at;www.vslitschau.ac.at;APS $VS;
309331;Volksschule Reingers;3863;Reingers;Nr. 43;02863/8245;vs.reingers@noeschule.at;teacher.schule.at/vs.reingers;APS $VS;
309391;Volksschule Schrems;3943;Schrems;Stadtpark 1;02853/77470;vs.schrems@noeschule.at;;APS $VS;
309401;Volksschule St. Martin;3971;St. Martin;Nr. 15;02857/2312;vs.stmartin@noeschule.at;;APS $VS;
309418;Bundeshandelsakademie und Bundeshandelsschule Gmünd;3950;Gmünd;Otto Glöckel-Straße 6;02852/52901;hak.gmuend@noeschule.at;www.hakgmuend.ac.at;BBS K$S KMS KHS;
309429;Bundesfachschule für wirtschaftliche Berufe Gmünd;3950;Gmünd;Otto Glöckel-Straße 6;02852/52901;bfs.gmuend@noeschule.at;www.fwgmuend.ac.at;BBS W$S WMS;
309437;Werkmeisterschule für Berufstätige des WIFI der Kammer der gewerblichen Wirtschaft für NÖ, Gmünd;3950;Gmünd;Weitraer Straße 42-44;02852/51533;wms.gmuend@noeschule.at;;BBS T$S TWS;
309441;Volksschule Unserfrau - Altweitra;3970;Unserfrau;Nr. 67;02856/2960;vs.unserfrau-altweitra@noeschule.at;;APS $VS;
309449;Schule für Sozialbetreuungsberufe, Schwerpunkt Altenarbeit;3950;Gmünd;Otto-Glöckel-Straße 6;02852/52901;fw.gmuend@noeschule.at;;BBS GES;
309451;Volksschule Waldenstein;3961;Waldenstein;Nr. 62;02855/202;vs.waldenstein@noeschule.at;;APS $VS;
309461;Volksschule Weitra;3970;Weitra;Schubertstraße 209;02856/2422;vs.weitra@noeschule.at;;APS $VS $AS;
310011;Volksschule Alberndorf im Pulkautal;2054;Alberndorf im Pulkautal;Schulgasse 129;02944/27722;vs.alberndorf-pulkautal@noeschule.at;;APS $VS;
310012;Neue Niederösterreichische Mittelschule Göllersdorf;2013;Göllersdorf;Schulgasse 273;02954/2275;hs.goellersdorf@noeschule.at;;APS $HS NMS;
310013;Allgemeine Sonderschule Hollabrunn;2020;Hollabrunn;Koliskoplatz 7 und Koliskoplatz 8;02952/3308 und 20192;aso.hollabrunn@noeschule.at;www.spzhollabrunn.ac.at;APS $AS SPZ;
310014;Polytechnische Schule Hollabrunn;2020;Hollabrunn;Kornhergasse 1;02952/2572;pts.hollabrunn@noeschule.at;www.ptshollabrunn.ac.at;APS PTS;
310015;Landesberufsschule Hollabrunn;2020;Hollabrunn;Josef Weislein-Straße 7;02952/2492-0;office@lbshollabrunn.ac.at;www.hollabrunn.ac.at;BPS BRS;
